Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-PASCO2
2021.01.28;02:16:27;20,3;35,9;6,3;517
2021.01.28;02:16:55;20,3;36,2;6,4;523
2021.01.28;02:17:13;20,3;36,0;6,3;512
2021.01.28;02:17:31;20,3;36,1;6,3;521
2021.01.28;02:17:50;20,3;36,0;6,3;522
2021.01.28;02:18:18;20,3;34,9;6,1;515
2021.01.28;02:18:36;20,3;36,0;6,3;518
2021.01.28;02:18:54;20,3;34,9;6,1;516
2021.01.28;02:19:12;20,3;35,8;6,3;510
2021.01.28;02:19:40;20,3;35,0;6,2;519
2021.01.28;02:19:59;20,3;35,9;6,3;521
2021.01.28;02:20:17;20,3;35,8;6,3;516
2021.01.28;02:20:35;20,3;35,9;6,3;522
2021.01.28;02:21:03;20,3;36,2;6,4;512
2021.01.28;02:21:21;20,3;35,9;6,3;511
2021.01.28;02:21:40;20,3;36,3;6,4;514
2021.01.28;02:21:58;20,3;36,0;6,3;522
2021.01.28;02:22:26;20,3;36,2;6,4;524
2021.01.28;02:22:44;20,3;36,0;6,3;510
2021.01.28;02:23:03;20,3;35,9;6,3;516
2021.01.28;02:23:21;20,3;35,8;6,3;517
2021.01.28;02:23:49;20,3;36,2;6,4;516
2021.01.28;02:24:07;20,3;36,0;6,3;513
2021.01.28;02:24:25;20,3;36,1;6,3;518
2021.01.28;02:24:44;20,3;35,9;6,3;516
2021.01.28;02:25:12;20,3;36,3;6,4;515
2021.01.28;02:25:30;20,3;36,1;6,3;516
2021.01.28;02:25:48;20,3;36,0;6,3;510
2021.01.28;02:26:07;20,3;36,1;6,3;518
2021.01.28;02:26:34;20,3;36,2;6,4;512
2021.01.28;02:26:53;20,3;36,0;6,3;516
2021.01.28;02:27:11;20,3;36,0;6,3;515
2021.01.28;02:27:29;20,3;36,0;6,3;511
2021.01.28;02:27:57;20,3;36,3;6,4;521
2021.01.28;02:28:16;20,3;36,0;6,3;510
2021.01.28;02:28:34;20,3;36,2;6,4;508
2021.01.28;02:28:52;20,3;35,8;6,3;516
2021.01.28;02:29:20;20,3;36,2;6,4;514
2021.01.28;02:29:38;20,3;36,1;6,3;509
2021.01.28;02:29:57;20,3;36,0;6,3;511
2021.01.28;02:30:15;20,3;36,1;6,3;508
2021.01.28;02:30:43;20,3;36,3;6,4;516
2021.01.28;02:31:01;20,3;36,0;6,3;518
2021.01.28;02:31:20;20,3;36,0;6,3;520
2021.01.28;02:31:38;20,3;35,9;6,3;512
2021.01.28;02:32:06;20,3;35,6;6,3;518
2021.01.28;02:32:24;20,3;35,9;6,3;508
2021.01.28;02:32:43;20,3;35,9;6,3;509
2021.01.28;02:33:01;20,3;35,9;6,3;510
2021.01.28;02:33:29;20,3;36,2;6,4;512
2021.01.28;02:33:47;20,3;36,0;6,3;501
2021.01.28;02:34:05;20,3;35,9;6,3;503
2021.01.28;02:34:24;20,3;35,9;6,3;508
2021.01.28;02:34:52;20,3;36,3;6,4;506
2021.01.28;02:35:10;20,3;36,0;6,3;510
2021.01.28;02:35:28;20,3;36,0;6,3;509
2021.01.28;02:35:46;20,3;36,1;6,3;513
2021.01.28;02:36:14;20,3;36,2;6,4;512
