,Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811
2021.01.05;01:02:16;21,0;40,4;7,4;400
2021.01.05;01:02:31;21,0;40,9;7,5;403
2021.01.05;01:02:53;21,0;40,9;7,5;405
2021.01.05;01:03:08;21,0;40,5;7,4;400
2021.01.05;01:03:24;21,0;40,8;7,5;402
2021.01.05;01:03:39;21,0;40,9;7,5;477
2021.01.05;01:04:01;21,0;41,0;7,5;423
2021.01.05;01:04:16;21,0;40,2;7,4;403
2021.01.05;01:04:31;20,9;40,6;7,4;400
2021.01.05;01:04:47;21,0;40,5;7,4;402
2021.01.05;01:05:08;20,9;39,4;7,2;403
2021.01.05;01:05:24;20,9;40,7;7,4;400
2021.01.05;01:05:39;20,9;40,5;7,4;472
2021.01.05;01:05:54;20,9;40,4;7,4;418
2021.01.05;01:06:16;20,9;39,6;7,2;413
2021.01.05;01:06:31;20,9;40,6;7,4;406
2021.01.05;01:06:46;20,9;40,6;7,4;403
2021.01.05;01:07:02;20,9;40,5;7,4;475
2021.01.05;01:07:23;21,0;39,6;7,3;403
2021.01.05;01:07:39;20,9;40,6;7,4;476
2021.01.05;01:07:54;20,9;40,8;7,4;406
2021.01.05;01:08:09;20,9;40,6;7,4;403
2021.01.05;01:08:31;20,9;39,4;7,2;400
2021.01.05;01:08:46;20,9;40,5;7,4;424
2021.01.05;01:09:02;20,9;40,3;7,3;400
2021.01.05;01:09:17;20,9;40,2;7,3;403
2021.01.05;01:09:39;20,9;40,8;7,4;481
2021.01.05;01:09:54;20,9;40,3;7,3;400
2021.01.05;01:10:09;20,9;40,3;7,3;402
2021.01.05;01:10:25;20,9;40,5;7,4;402
2021.01.05;01:10:46;20,9;39,3;7,2;405
2021.01.05;01:11:02;20,9;40,4;7,4;409
2021.01.05;01:11:17;20,9;40,4;7,4;403
2021.01.05;01:11:32;20,9;40,4;7,4;406
2021.01.05;01:11:54;20,9;39,4;7,2;403
2021.01.05;01:12:09;20,9;40,4;7,4;402
2021.01.05;01:12:25;20,9;40,5;7,4;477
2021.01.05;01:12:40;21,0;40,5;7,4;400
2021.01.05;01:13:02;20,9;39,3;7,2;406
2021.01.05;01:13:17;20,9;40,2;7,3;482
2021.01.05;01:13:32;20,9;40,8;7,4;405
2021.01.05;01:13:48;21,0;40,7;7,5;413
2021.01.05;01:14:09;21,0;41,0;7,5;409
2021.01.05;01:14:25;21,0;40,8;7,5;405
2021.01.05;01:14:40;21,0;40,6;7,4;400
2021.01.05;01:14:55;21,0;40,6;7,4;408
2021.01.05;01:15:17;21,0;40,0;7,3;409
2021.01.05;01:15:32;21,0;40,9;7,5;457
2021.01.05;01:15:48;21,0;41,0;7,5;409
2021.01.05;01:16:03;21,0;41,3;7,6;403
2021.01.05;01:16:25;21,0;40,2;7,4;407
2021.01.05;01:16:40;21,0;41,3;7,6;400
2021.01.05;01:16:55;21,1;41,1;7,6;447
2021.01.05;01:17:11;21,0;41,3;7,6;400
2021.01.05;01:17:32;21,1;40,1;7,4;403
2021.01.05;01:17:48;21,1;41,2;7,6;402
2021.01.05;01:18:03;21,0;41,2;7,5;403
2021.01.05;01:18:18;21,1;41,3;7,6;400
2021.01.05;01:18:40;21,1;40,2;7,4;421
2021.01.05;01:18:55;21,1;41,2;7,6;409
2021.01.05;01:19:10;21,0;41,3;7,6;400
2021.01.05;01:19:26;21,1;41,2;7,6;473
2021.01.05;01:19:47;21,1;40,2;7,4;402
2021.01.05;01:20:03;21,0;41,1;7,5;400
2021.01.05;01:20:18;21,1;41,1;7,6;402
2021.01.05;01:20:33;21,1;41,3;7,6;403
2021.01.05;01:20:55;21,1;41,5;7,6;403
2021.01.05;01:21:10;21,0;41,2;7,5;400
2021.01.05;01:21:26;21,1;41,1;7,6;478
2021.01.05;01:21:41;21,0;41,1;7,5;406
2021.01.05;01:22:03;21,0;41,4;7,6;407
2021.01.05;01:22:18;21,0;41,1;7,5;400
2021.01.05;01:22:33;21,1;41,3;7,6;405
2021.01.05;01:22:49;21,0;41,2;7,5;403
2021.01.05;01:23:10;21,1;41,5;7,6;400
2021.01.05;01:23:26;21,1;41,2;7,6;400
2021.01.05;01:23:41;21,0;41,2;7,5;400
2021.01.05;01:23:56;21,0;41,1;7,5;415
2021.01.05;01:24:18;21,0;41,5;7,6;417
2021.01.05;01:24:33;21,0;41,3;7,6;400
2021.01.05;01:24:49;21,0;41,0;7,5;406
2021.01.05;01:25:04;21,1;41,1;7,6;403
2021.01.05;01:25:26;21,0;40,1;7,3;400
2021.01.05;01:25:41;21,1;41,1;7,6;414
2021.01.05;01:25:56;21,0;41,0;7,5;403
2021.01.05;01:26:12;21,0;41,0;7,5;400
2021.01.05;01:26:33;21,0;40,1;7,3;405
2021.01.05;01:26:49;21,0;41,4;7,6;400
2021.01.05;01:27:04;21,0;41,4;7,6;405
2021.01.05;01:27:19;21,1;41,3;7,6;477
2021.01.05;01:27:41;21,0;40,0;7,3;400
2021.01.05;01:27:56;21,0;40,9;7,5;445
2021.01.05;01:28:12;21,0;41,0;7,5;400
2021.01.05;01:28:27;21,0;41,2;7,5;402
2021.01.05;01:28:48;21,1;40,1;7,4;403
2021.01.05;01:29:04;21,0;41,1;7,5;427
2021.01.05;01:29:19;21,1;41,4;7,6;400
2021.01.05;01:29:34;21,1;41,2;7,6;400
2021.01.05;01:29:56;21,0;41,4;7,6;403
2021.01.05;01:30:11;21,0;41,2;7,5;405
2021.01.05;01:30:27;21,0;41,2;7,5;413
2021.01.05;01:30:42;21,1;40,9;7,5;402
2021.01.05;01:31:04;21,0;40,0;7,3;400
2021.01.05;01:31:19;21,1;41,1;7,6;413
2021.01.05;01:31:34;21,0;41,1;7,5;402
2021.01.05;01:31:50;21,0;41,1;7,5;403
2021.01.05;01:32:11;21,0;40,0;7,3;403
2021.01.05;01:32:27;21,0;41,0;7,5;400
2021.01.05;01:32:42;21,1;41,1;7,6;428
2021.01.05;01:32:57;21,0;41,3;7,6;456
2021.01.05;01:33:19;21,0;39,9;7,3;400
2021.01.05;01:33:34;21,0;41,0;7,5;400
2021.01.05;01:33:50;21,0;41,2;7,5;402
2021.01.05;01:34:05;21,1;41,1;7,6;413
2021.01.05;01:34:27;21,0;40,0;7,3;402
2021.01.05;01:34:42;21,0;40,3;7,4;432
2021.01.05;01:34:57;21,0;41,1;7,5;486
2021.01.05;01:35:13;21,0;40,8;7,5;435
2021.01.05;01:35:34;21,0;41,3;7,6;409
2021.01.05;01:35:50;21,0;41,0;7,5;407
2021.01.05;01:36:05;21,0;41,1;7,5;407
2021.01.05;01:36:20;21,0;41,3;7,6;485
2021.01.05;01:36:42;21,0;41,3;7,6;400
2021.01.05;01:36:57;21,0;41,0;7,5;493
2021.01.05;01:37:12;21,0;41,1;7,5;432
2021.01.05;01:37:28;21,0;40,9;7,5;400
2021.01.05;01:37:49;21,0;40,0;7,3;400
2021.01.05;01:38:05;21,0;41,1;7,5;405
2021.01.05;01:38:20;21,0;41,1;7,5;502
2021.01.05;01:38:35;21,0;41,0;7,5;424
2021.01.05;01:38:57;21,0;40,0;7,3;405
2021.01.05;01:39:12;21,0;41,0;7,5;405
2021.01.05;01:39:28;20,9;40,8;7,4;405
2021.01.05;01:39:43;20,9;41,0;7,5;427
2021.01.05;01:40:05;21,0;39,9;7,3;403
2021.01.05;01:40:20;21,0;40,9;7,5;400
2021.01.05;01:40:35;21,0;41,1;7,5;406
2021.01.05;01:40:51;21,0;41,1;7,5;400
2021.01.05;01:41:12;20,9;39,9;7,3;406
2021.01.05;01:41:28;20,9;40,9;7,4;487
2021.01.05;01:41:43;20,9;41,1;7,5;400
2021.01.05;01:41:58;20,9;40,8;7,4;400
2021.01.05;01:42:20;20,9;41,2;7,5;400
2021.01.05;01:42:35;20,9;40,9;7,4;414
2021.01.05;01:42:51;20,9;40,9;7,4;405
2021.01.05;01:43:06;20,9;41,0;7,5;405
2021.01.05;01:43:28;20,9;40,1;7,3;476
2021.01.05;01:43:43;20,9;41,0;7,5;400
2021.01.05;01:43:58;20,9;41,0;7,5;400
2021.01.05;01:44:14;20,9;41,1;7,5;400
2021.01.05;01:44:35;20,9;39,9;7,3;481
2021.01.05;01:44:50;20,9;40,9;7,4;411
2021.01.05;01:45:06;21,0;40,8;7,5;400
2021.01.05;01:45:21;21,0;41,1;7,5;400
2021.01.05;01:45:43;20,9;39,9;7,3;402
2021.01.05;01:45:58;20,9;41,0;7,5;402
2021.01.05;01:46:13;20,9;41,1;7,5;405
2021.01.05;01:46:29;20,9;41,0;7,5;422
2021.01.05;01:46:50;20,9;39,9;7,3;433
2021.01.05;01:47:06;20,9;41,0;7,5;402
2021.01.05;01:47:21;20,9;41,1;7,5;402
2021.01.05;01:47:36;20,9;40,9;7,4;486
2021.01.05;01:47:58;20,9;39,8;7,2;497
2021.01.05;01:48:13;20,9;40,9;7,4;400
2021.01.05;01:48:29;20,9;41,0;7,5;407
2021.01.05;01:48:44;20,9;40,8;7,4;481
2021.01.05;01:49:06;20,9;39,8;7,2;405
2021.01.05;01:49:21;20,9;41,0;7,5;400
2021.01.05;01:49:36;20,9;41,0;7,5;400
2021.01.05;01:49:52;20,9;41,0;7,5;408
2021.01.05;01:50:13;20,9;39,7;7,2;408
2021.01.05;01:50:29;20,9;40,7;7,4;400
2021.01.05;01:50:44;20,9;40,9;7,4;417
2021.01.05;01:50:59;20,9;40,7;7,4;400
2021.01.05;01:51:21;20,9;39,9;7,3;405
2021.01.05;01:51:36;20,9;40,8;7,4;476
2021.01.05;01:51:52;20,9;40,7;7,4;400
2021.01.05;01:52:07;20,9;40,5;7,4;422
2021.01.05;01:52:29;20,9;41,1;7,5;414
2021.01.05;01:52:44;20,9;40,8;7,4;402
2021.01.05;01:52:59;20,9;40,6;7,4;400
2021.01.05;01:53:15;20,9;40,6;7,4;402
2021.01.05;01:53:36;20,9;41,1;7,5;402
2021.01.05;01:53:52;20,9;40,8;7,4;402
2021.01.05;01:54:07;20,9;40,7;7,4;400
2021.01.05;01:54:22;20,9;40,9;7,4;407
2021.01.05;01:54:44;20,9;39,7;7,2;407
2021.01.05;01:54:59;20,9;40,7;7,4;476
2021.01.05;01:55:15;20,9;40,5;7,4;400
2021.01.05;01:55:30;20,9;40,6;7,4;400
2021.01.05;01:55:52;20,9;39,8;7,2;400
2021.01.05;01:56:07;20,9;40,7;7,4;403
2021.01.05;01:56:22;20,9;40,6;7,4;400
2021.01.05;01:56:38;20,9;41,0;7,5;477
2021.01.05;01:56:59;20,9;40,6;7,4;415
2021.01.05;01:57:15;20,9;40,7;7,4;406
2021.01.05;01:57:30;20,9;40,6;7,4;409
2021.01.05;01:57:45;20,9;40,6;7,4;400
2021.01.05;01:58:07;20,9;40,9;7,4;400
2021.01.05;01:58:22;20,9;40,6;7,4;403
2021.01.05;01:58:38;20,9;40,8;7,4;475
2021.01.05;01:58:53;20,9;40,8;7,4;403
2021.01.05;01:59:15;20,9;40,9;7,4;405
2021.01.05;01:59:30;20,9;40,6;7,4;400
2021.01.05;01:59:45;20,9;40,8;7,4;403
2021.01.05;02:00:01;20,9;40,5;7,4;413
2021.01.05;02:00:22;20,8;39,6;7,2;403
2021.01.05;02:00:38;20,8;40,7;7,4;480
2021.01.05;02:00:53;20,9;40,8;7,4;405
2021.01.05;02:01:08;20,9;40,8;7,4;476
2021.01.05;02:01:30;20,8;39,7;7,2;405
2021.01.05;02:01:45;20,8;40,7;7,4;400
2021.01.05;02:02:00;20,9;40,6;7,4;403
2021.01.05;02:02:16;20,8;40,5;7,3;400
2021.01.05;02:02:37;20,9;39,8;7,2;480
2021.01.05;02:02:53;20,8;40,6;7,4;421
2021.01.05;02:03:08;20,9;40,5;7,4;400
2021.01.05;02:03:23;20,9;40,7;7,4;409
2021.01.05;02:03:45;20,9;40,9;7,4;475
2021.01.05;02:04:00;20,8;40,6;7,4;400
2021.01.05;02:04:16;20,9;40,6;7,4;414
2021.01.05;02:04:31;20,9;40,9;7,4;400
2021.01.05;02:04:53;20,9;39,6;7,2;403
2021.01.05;02:05:08;20,8;40,6;7,4;414
2021.01.05;02:05:23;20,9;40,7;7,4;403
2021.01.05;02:05:39;20,9;40,8;7,4;475
2021.01.05;02:06:00;20,9;39,6;7,2;403
2021.01.05;02:06:16;20,9;40,6;7,4;403
2021.01.05;02:06:31;20,9;40,7;7,4;405
2021.01.05;02:06:46;20,8;40,7;7,4;405
2021.01.05;02:07:08;20,8;39,5;7,2;400
2021.01.05;02:07:23;20,8;40,5;7,3;409
2021.01.05;02:07:39;20,8;40,7;7,4;475
2021.01.05;02:07:54;20,8;40,9;7,4;405
2021.01.05;02:08:16;20,8;39,6;7,2;400
2021.01.05;02:08:31;20,8;40,7;7,4;400
2021.01.05;02:08:46;20,8;40,5;7,3;402
2021.01.05;02:09:02;20,8;40,5;7,3;400
2021.01.05;02:09:23;20,8;39,4;7,1;402
2021.01.05;02:09:39;20,8;40,5;7,3;486
2021.01.05;02:09:54;20,8;40,7;7,4;400
2021.01.05;02:10:09;20,8;40,7;7,4;403
2021.01.05;02:10:31;20,8;40,8;7,4;403
2021.01.05;02:10:46;20,8;40,7;7,4;406
2021.01.05;02:11:02;20,8;40,6;7,4;406
2021.01.05;02:11:17;20,9;40,9;7,4;403
2021.01.05;02:11:39;20,8;40,9;7,4;478
2021.01.05;02:11:54;20,8;40,8;7,4;403
2021.01.05;02:12:09;20,9;40,4;7,4;400
2021.01.05;02:12:25;20,8;40,5;7,3;403
2021.01.05;02:12:46;20,8;40,8;7,4;409
2021.01.05;02:13:02;20,8;40,5;7,3;403
2021.01.05;02:13:17;20,8;40,6;7,4;400
2021.01.05;02:13:32;20,8;40,5;7,3;406
2021.01.05;02:13:54;20,8;39,5;7,2;406
2021.01.05;02:14:09;20,8;40,5;7,3;400
2021.01.05;02:14:24;20,8;40,5;7,3;406
2021.01.05;02:14:40;20,8;40,5;7,3;400
2021.01.05;02:15:01;20,8;39,5;7,2;406
2021.01.05;02:15:17;20,8;40,5;7,3;403
2021.01.05;02:15:32;20,8;40,5;7,3;403
2021.01.05;02:15:47;20,8;40,6;7,4;409
2021.01.05;02:16:09;20,8;39,5;7,2;413
2021.01.05;02:16:24;20,8;40,5;7,3;406
2021.01.05;02:16:40;20,8;40,4;7,3;403
2021.01.05;02:16:55;20,8;40,4;7,3;403
2021.01.05;02:17:17;20,8;39,5;7,2;400
2021.01.05;02:17:32;20,8;40,6;7,4;403
2021.01.05;02:17:47;20,8;40,5;7,3;400
2021.01.05;02:18:03;20,8;40,5;7,3;403
2021.01.05;02:18:24;20,8;39,3;7,1;403
2021.01.05;02:18:40;20,8;40,3;7,3;400
2021.01.05;02:18:55;20,8;40,4;7,3;403
2021.01.05;02:19:10;20,7;40,5;7,3;403
2021.01.05;02:19:32;20,8;40,1;7,3;400
2021.01.05;02:19:47;20,8;40,5;7,3;405
2021.01.05;02:20:03;20,7;40,5;7,3;408
2021.01.05;02:20:18;20,8;40,5;7,3;403
2021.01.05;02:20:40;20,7;39,4;7,1;400
2021.01.05;02:20:55;20,8;40,4;7,3;405
2021.01.05;02:21:10;20,8;40,4;7,3;403
2021.01.05;02:21:26;20,8;40,4;7,3;400
2021.01.05;02:21:47;20,8;40,7;7,4;400
2021.01.05;02:22:03;20,8;40,4;7,3;481
2021.01.05;02:22:18;20,8;40,5;7,3;403
2021.01.05;02:22:33;20,8;40,4;7,3;413
2021.01.05;02:22:55;20,7;39,2;7,1;409
2021.01.05;02:23:10;20,8;40,5;7,3;405
2021.01.05;02:23:26;20,8;40,5;7,3;405
2021.01.05;02:23:41;20,8;40,5;7,3;409
2021.01.05;02:24:03;20,8;39,4;7,1;405
2021.01.05;02:24:18;20,8;40,4;7,3;405
2021.01.05;02:24:33;20,8;40,6;7,4;405
2021.01.05;02:24:49;20,8;40,7;7,4;427
2021.01.05;02:25:10;20,8;39,2;7,1;422
